filename,width,height,class,xmin,ymin,xmax,ymax,image_id
Numan_(496)_jpg.rf.8788297e46500efb356824e20ddf4f7c.jpg,512,512,three wheelers (CNG),377,260,384,267,2
Numan_(42)_jpg.rf.63d24993c0df609a0a95f8ab3ac5f736.jpg,512,512,bus,49,113,510,447,3
Numan_(42)_jpg.rf.63d24993c0df609a0a95f8ab3ac5f736.jpg,512,512,rickshaw,2,254,62,397,3
Numan_(42)_jpg.rf.63d24993c0df609a0a95f8ab3ac5f736.jpg,512,512,rickshaw,29,252,56,313,3
Dipto_ 203_jpg.rf.984379605a3a91b2a33f789e048407df.jpg,512,512,rickshaw,403,68,434,152,4
Dipto_ 203_jpg.rf.984379605a3a91b2a33f789e048407df.jpg,512,512,bus,437,63,477,107,4
Dipto_ 203_jpg.rf.984379605a3a91b2a33f789e048407df.jpg,512,512,auto rickshaw,363,72,390,108,4
Dipto_ 203_jpg.rf.984379605a3a91b2a33f789e048407df.jpg,512,512,auto rickshaw,221,46,240,103,4
Dipto_ 203_jpg.rf.984379605a3a91b2a33f789e048407df.jpg,512,512,auto rickshaw,241,53,266,100,4
Dipto_ 203_jpg.rf.984379605a3a91b2a33f789e048407df.jpg,512,512,auto rickshaw,178,46,212,94,4
Dipto_ 203_jpg.rf.984379605a3a91b2a33f789e048407df.jpg,512,512,auto rickshaw,135,45,169,91,4
Dipto_ 203_jpg.rf.984379605a3a91b2a33f789e048407df.jpg,512,512,rickshaw,93,40,135,87,4
Dipto_ 203_jpg.rf.984379605a3a91b2a33f789e048407df.jpg,512,512,auto rickshaw,210,49,222,92,4
Dipto_ 203_jpg.rf.984379605a3a91b2a33f789e048407df.jpg,512,512,bicycle,272,62,286,103,4
41_jpg.rf.0445bdd2d99b21ea98ea02931fc4af9c.jpg,512,512,bus,237,200,300,311,5
Pias (222)_jpg.rf.eb3f7334bf8915d5d17ca7ace0bb9668.jpg,512,512,pickup,114,215,386,512,6
Pias (222)_jpg.rf.eb3f7334bf8915d5d17ca7ace0bb9668.jpg,512,512,three wheelers (CNG),430,265,512,366,6
Pias (222)_jpg.rf.eb3f7334bf8915d5d17ca7ace0bb9668.jpg,512,512,rickshaw,363,269,448,377,6
Pias (222)_jpg.rf.eb3f7334bf8915d5d17ca7ace0bb9668.jpg,512,512,rickshaw,53,303,92,384,6
Pias (222)_jpg.rf.eb3f7334bf8915d5d17ca7ace0bb9668.jpg,512,512,rickshaw,87,293,117,383,6
Pias (222)_jpg.rf.eb3f7334bf8915d5d17ca7ace0bb9668.jpg,512,512,car,311,256,382,318,6
Pias (222)_jpg.rf.eb3f7334bf8915d5d17ca7ace0bb9668.jpg,512,512,car,1,297,12,324,6
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,car,63,352,264,511,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,bus,8,255,181,385,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,taxi,329,301,418,367,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,car,241,312,326,371,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,three wheelers (CNG),310,302,348,349,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,bus,248,283,332,328,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,rickshaw,240,303,269,345,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,motorbike,215,310,239,355,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,rickshaw,446,285,458,314,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,car,486,295,512,334,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,suv,472,287,492,316,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,three wheelers (CNG),380,295,391,307,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,suv,391,294,401,308,7
Numan_(46)_jpg.rf.eeec554cdf220874f1d1c01505de9e93.jpg,512,512,three wheelers (CNG),340,300,357,323,7
Dipto_462_jpg.rf.7b65790c48b15d797e98affd70d7e563.jpg,512,512,pickup,171,60,255,255,8
Dipto_462_jpg.rf.7b65790c48b15d797e98affd70d7e563.jpg,512,512,bus,281,35,371,229,8
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,car,196,257,238,324,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,car,131,345,196,446,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,motorbike,281,389,310,456,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,three wheelers (CNG),232,330,273,434,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,motorbike,323,318,346,409,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,bus,310,150,351,262,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,van,306,221,342,304,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,bicycle,418,342,441,431,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,car,316,402,394,512,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,three wheelers (CNG),212,213,238,266,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,motorbike,363,354,385,429,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,bus,264,121,301,190,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,car,213,173,238,207,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,car,315,280,362,358,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,motorbike,363,201,377,252,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,pickup,247,190,298,295,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,car,1,306,48,388,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,motorbike,355,192,367,243,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,rickshaw,350,130,363,167,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,three wheelers (CNG),299,141,310,173,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,bus,310,71,327,102,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,bus,284,70,303,95,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,minivan,6,235,47,263,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,minivan,1,190,66,250,9
Navid_201_jpg.rf.a60e4733f6bbe42846ccee88044ef98d.jpg,512,512,car,153,134,170,160,9
Navid_466_jpg.rf.7958191434dac11884cc4d7682f81201.jpg,512,512,car,2,257,168,375,10
Navid_466_jpg.rf.7958191434dac11884cc4d7682f81201.jpg,512,512,three wheelers (CNG),128,261,148,274,10
Navid_466_jpg.rf.7958191434dac11884cc4d7682f81201.jpg,512,512,motorbike,237,264,249,277,10
Navid_466_jpg.rf.7958191434dac11884cc4d7682f81201.jpg,512,512,suv,249,265,266,275,10
Navid_466_jpg.rf.7958191434dac11884cc4d7682f81201.jpg,512,512,car,296,267,318,277,10
Navid_466_jpg.rf.7958191434dac11884cc4d7682f81201.jpg,512,512,minivan,327,265,346,276,10
Navid_466_jpg.rf.7958191434dac11884cc4d7682f81201.jpg,512,512,rickshaw,368,265,397,291,10
Navid_466_jpg.rf.7958191434dac11884cc4d7682f81201.jpg,512,512,rickshaw,355,263,370,289,10
Navid_466_jpg.rf.7958191434dac11884cc4d7682f81201.jpg,512,512,car,281,267,295,276,10
Navid_466_jpg.rf.7958191434dac11884cc4d7682f81201.jpg,512,512,car,159,264,177,271,10
Navid_466_jpg.rf.7958191434dac11884cc4d7682f81201.jpg,512,512,car,179,264,193,270,10
Navid_55_jpg.rf.5fecae30334eb647ec46fc1c84a58b4b.jpg,512,512,bus,7,221,497,512,11
Navid_55_jpg.rf.5fecae30334eb647ec46fc1c84a58b4b.jpg,512,512,minibus,13,85,172,235,11
Navid_55_jpg.rf.5fecae30334eb647ec46fc1c84a58b4b.jpg,512,512,car,221,64,282,121,11
Navid_55_jpg.rf.5fecae30334eb647ec46fc1c84a58b4b.jpg,512,512,car,285,124,320,183,11
Navid_55_jpg.rf.5fecae30334eb647ec46fc1c84a58b4b.jpg,512,512,bus,393,84,512,177,11
Navid_55_jpg.rf.5fecae30334eb647ec46fc1c84a58b4b.jpg,512,512,minibus,397,30,495,83,11
Dipto_371_jpg.rf.5370812cbb4e221864f05c9268707956.jpg,512,512,bus,100,3,327,388,12
Dipto_371_jpg.rf.5370812cbb4e221864f05c9268707956.jpg,512,512,car,341,199,363,226,12
Dipto_511_jpg.rf.8aaf5c3d21003f4b85426d5bbd5cd015.jpg,512,512,bus,26,8,329,512,13
Dipto_511_jpg.rf.8aaf5c3d21003f4b85426d5bbd5cd015.jpg,512,512,bus,381,1,510,393,13
Dipto_511_jpg.rf.8aaf5c3d21003f4b85426d5bbd5cd015.jpg,512,512,bus,328,80,360,281,13
Dipto_511_jpg.rf.8aaf5c3d21003f4b85426d5bbd5cd015.jpg,512,512,bus,361,133,370,211,13
Dipto_511_jpg.rf.8aaf5c3d21003f4b85426d5bbd5cd015.jpg,512,512,pickup,371,100,382,226,13
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,car,220,220,402,286,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,car,225,214,297,243,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,car,9,214,74,245,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,motorbike,113,211,134,242,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,motorbike,94,209,115,238,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,motorbike,77,209,89,228,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,three wheelers (CNG),38,208,65,221,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,bus,24,203,39,209,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,motorbike,11,209,22,225,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,car,3,209,12,218,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,bus,13,204,24,209,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,car,63,212,78,231,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,pickup,64,201,88,220,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,car,87,210,96,220,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,bus,105,205,123,213,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,car,23,210,38,215,14
Numan_(303)_JPG.rf.c85aa30947492e1f59c23c92c6d8ab8a.jpg,512,512,car,110,212,145,235,14
Pias (501)_jpg.rf.603111d94e07d03f9875adfed75c5b65.jpg,512,512,truck,303,322,332,356,15
Pias (501)_jpg.rf.603111d94e07d03f9875adfed75c5b65.jpg,512,512,rickshaw,403,349,411,374,15
Pias (501)_jpg.rf.603111d94e07d03f9875adfed75c5b65.jpg,512,512,rickshaw,411,349,418,376,15
Pias (501)_jpg.rf.603111d94e07d03f9875adfed75c5b65.jpg,512,512,truck,258,326,272,349,15
Pias (501)_jpg.rf.603111d94e07d03f9875adfed75c5b65.jpg,512,512,truck,219,320,232,345,15
Pias (453)_jpg.rf.9a450ee5658462efe28d91671a1d92d2.jpg,512,512,truck,267,126,418,384,16
Pias (389)_jpg.rf.546d6f20b59276faa78d7877a05d7da0.jpg,512,512,truck,165,247,256,362,17
Pias (389)_jpg.rf.546d6f20b59276faa78d7877a05d7da0.jpg,512,512,truck,125,257,172,337,17
Pias (389)_jpg.rf.546d6f20b59276faa78d7877a05d7da0.jpg,512,512,bus,272,293,280,310,17
Dipto_551_jpg.rf.dd4d8bfd0320891b6bfc44f293543895.jpg,512,512,bus,241,172,395,506,18
Dipto_551_jpg.rf.dd4d8bfd0320891b6bfc44f293543895.jpg,512,512,van,47,334,157,487,18
33_jpg.rf.deb47d37db7ca404a218cc3e6a7a9583.jpg,512,512,van,447,220,512,495,19
33_jpg.rf.deb47d37db7ca404a218cc3e6a7a9583.jpg,512,512,motorbike,291,323,306,359,19
33_jpg.rf.deb47d37db7ca404a218cc3e6a7a9583.jpg,512,512,van,13,292,68,354,19
33_jpg.rf.deb47d37db7ca404a218cc3e6a7a9583.jpg,512,512,bus,68,261,153,357,19
33_jpg.rf.deb47d37db7ca404a218cc3e6a7a9583.jpg,512,512,truck,238,288,272,346,19
33_jpg.rf.deb47d37db7ca404a218cc3e6a7a9583.jpg,512,512,bus,155,297,193,333,19
33_jpg.rf.deb47d37db7ca404a218cc3e6a7a9583.jpg,512,512,truck,350,302,365,320,19
33_jpg.rf.deb47d37db7ca404a218cc3e6a7a9583.jpg,512,512,truck,312,304,324,328,19
Navid_492_jpg.rf.84a32b9ff0c01adbd290356ac35f7b17.jpg,512,512,car,439,166,512,202,20
Navid_492_jpg.rf.84a32b9ff0c01adbd290356ac35f7b17.jpg,512,512,suv,189,163,219,177,20
Navid_492_jpg.rf.84a32b9ff0c01adbd290356ac35f7b17.jpg,512,512,rickshaw,76,163,108,193,20
Navid_492_jpg.rf.84a32b9ff0c01adbd290356ac35f7b17.jpg,512,512,motorbike,110,166,122,181,20
Navid_492_jpg.rf.84a32b9ff0c01adbd290356ac35f7b17.jpg,512,512,suv,126,165,142,175,20
Pias (443)_jpg.rf.be22341027110481f7c008855b6a150e.jpg,512,512,bus,167,222,212,327,21
Dipto_ 232_jpg.rf.4f3a767478bf08d0295aa692ff948415.jpg,512,512,ambulance,202,187,273,312,22
Dipto_ 232_jpg.rf.4f3a767478bf08d0295aa692ff948415.jpg,512,512,auto rickshaw,126,207,180,303,22
Dipto_ 232_jpg.rf.4f3a767478bf08d0295aa692ff948415.jpg,512,512,bicycle,187,247,197,269,22
Dipto_ 232_jpg.rf.4f3a767478bf08d0295aa692ff948415.jpg,512,512,rickshaw,420,182,465,308,22
Dipto_822_jpg.rf.c9da7c21796c3388110aff501a8a2965.jpg,512,512,car,309,285,344,333,23
Dipto_822_jpg.rf.c9da7c21796c3388110aff501a8a2965.jpg,512,512,car,342,287,359,318,23
Dipto_822_jpg.rf.c9da7c21796c3388110aff501a8a2965.jpg,512,512,car,239,289,289,354,23
Dipto_822_jpg.rf.c9da7c21796c3388110aff501a8a2965.jpg,512,512,suv,218,284,244,338,23
Dipto_822_jpg.rf.c9da7c21796c3388110aff501a8a2965.jpg,512,512,minivan,273,274,302,327,23
Dipto_822_jpg.rf.c9da7c21796c3388110aff501a8a2965.jpg,512,512,rickshaw,141,288,150,332,23
Dipto_822_jpg.rf.c9da7c21796c3388110aff501a8a2965.jpg,512,512,rickshaw,165,285,190,330,23
Dipto_822_jpg.rf.c9da7c21796c3388110aff501a8a2965.jpg,512,512,three wheelers (CNG),191,290,214,322,23
Dipto_822_jpg.rf.c9da7c21796c3388110aff501a8a2965.jpg,512,512,three wheelers (CNG),345,279,370,314,23
Dipto_822_jpg.rf.c9da7c21796c3388110aff501a8a2965.jpg,512,512,three wheelers (CNG),428,225,512,447,23
Pias (159)_jpg.rf.72d2f849e3276d9674ab66c80ee477d2.jpg,512,512,bicycle,119,330,141,371,24
Pias (159)_jpg.rf.72d2f849e3276d9674ab66c80ee477d2.jpg,512,512,car,197,327,257,416,24
Pias (159)_jpg.rf.72d2f849e3276d9674ab66c80ee477d2.jpg,512,512,car,196,318,219,349,24
Pias (159)_jpg.rf.72d2f849e3276d9674ab66c80ee477d2.jpg,512,512,motorbike,173,318,180,339,24
Pias (159)_jpg.rf.72d2f849e3276d9674ab66c80ee477d2.jpg,512,512,three wheelers (CNG),287,314,316,353,24
Pias (159)_jpg.rf.72d2f849e3276d9674ab66c80ee477d2.jpg,512,512,minivan,407,301,437,335,24
Navid_304_jpg.rf.170c96e47ceb5111dc0f627043c71c59.jpg,512,512,minivan,175,257,206,316,25
Navid_304_jpg.rf.170c96e47ceb5111dc0f627043c71c59.jpg,512,512,three wheelers (CNG),420,295,481,386,25
Navid_304_jpg.rf.170c96e47ceb5111dc0f627043c71c59.jpg,512,512,three wheelers (CNG),295,239,317,281,25
Navid_304_jpg.rf.170c96e47ceb5111dc0f627043c71c59.jpg,512,512,bus,228,202,258,256,25
Navid_304_jpg.rf.170c96e47ceb5111dc0f627043c71c59.jpg,512,512,car,262,229,283,257,25
Navid_304_jpg.rf.170c96e47ceb5111dc0f627043c71c59.jpg,512,512,bus,164,194,182,229,25
Dipto_ 286_jpg.rf.a7101f816378d69942fee770a626e876.jpg,512,512,minivan,452,135,512,261,26
Dipto_ 286_jpg.rf.a7101f816378d69942fee770a626e876.jpg,512,512,motorbike,365,203,407,246,26
Dipto_ 286_jpg.rf.a7101f816378d69942fee770a626e876.jpg,512,512,three wheelers (CNG),274,172,300,229,26
Dipto_ 286_jpg.rf.a7101f816378d69942fee770a626e876.jpg,512,512,rickshaw,212,173,231,220,26
Dipto_ 286_jpg.rf.a7101f816378d69942fee770a626e876.jpg,512,512,rickshaw,74,171,103,243,26
Dipto_ 286_jpg.rf.a7101f816378d69942fee770a626e876.jpg,512,512,rickshaw,51,172,75,251,26
Dipto_ 286_jpg.rf.a7101f816378d69942fee770a626e876.jpg,512,512,wheelbarrow,150,224,222,295,26
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,bus,351,191,485,473,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,bus,310,109,377,210,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,bus,291,71,336,147,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,bus,283,43,323,103,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,bus,258,50,287,131,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,ambulance,98,249,183,473,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,196,216,240,341,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,152,188,196,269,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,206,152,241,217,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,171,141,204,201,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,188,107,211,150,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,223,110,245,157,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,three wheelers (CNG),247,101,264,149,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,three wheelers (CNG),250,185,268,251,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,three wheelers (CNG),249,151,271,194,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,motorbike,189,91,199,104,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,200,84,217,127,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,224,86,240,124,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,227,73,244,104,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,207,65,224,95,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,248,66,263,99,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,pickup,247,42,261,81,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,pickup,210,44,224,63,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,van,218,29,229,55,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,228,58,240,74,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,bus,230,7,244,40,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,bus,251,3,268,32,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,bus,268,25,290,66,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,2,369,28,448,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,suv,4,249,88,346,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,63,185,120,250,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,7,195,70,262,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,2,169,61,214,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,104,145,144,198,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,69,143,111,187,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,57,126,98,173,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,suv,2,137,53,182,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,20,118,61,147,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,1,131,17,146,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,motorbike,16,112,27,126,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,three wheelers (CNG),62,100,85,131,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,three wheelers (CNG),90,95,104,136,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,38,97,66,122,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,three wheelers (CNG),55,75,70,99,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,three wheelers (CNG),71,71,84,96,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,three wheelers (CNG),78,71,90,96,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,87,75,110,98,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,three wheelers (CNG),113,81,131,109,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,132,112,162,150,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,van,146,79,172,120,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,132,78,151,116,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,171,61,189,82,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,suv,148,62,167,84,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,three wheelers (CNG),131,66,146,81,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,128,51,142,62,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,183,48,193,69,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,174,44,180,62,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,190,36,203,52,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,bus,125,22,151,41,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,156,29,163,40,27
Asraf_34_jpg.rf.0cd2665d8fb6944c072808953cb5fdf3.jpg,512,512,car,220,16,228,34,27
